OBJECTID,admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
1,Abengourou,CI200101,NA,NA,NA,Abengourou,CI2001,Indenie-Djuablin,CI20,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
2,Abidjan,CI010101,NA,NA,NA,Abidjan,CI0101,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
3,Abigui,CI270201,NA,NA,NA,Dimbokro,CI2702,N'Zi,CI27,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
4,Aboisso,CI300101,NA,NA,NA,Aboisso,CI3001,Sud-Comoe,CI30,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
5,Aboisso-Comoé,CI240301,Aboisso-Comoe,NA,NA,Alépé,CI2403,Me,CI24,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
6,Abongoua,CI240402,NA,NA,NA,Yakassé-Attobrou,CI2404,Me,CI24,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
7,Aboudé,CI030101,Aboude,NA,NA,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
8,Adaou,CI300102,NA,NA,NA,Aboisso,CI3001,Sud-Comoe,CI30,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
9,Adiake,CI300201,NA,NA,NA,Adiaké,CI3002,Sud-Comoe,CI30,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
10,Adjouan,CI300103,NA,NA,NA,Aboisso,CI3001,Sud-Comoe,CI30,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
11,Adzopé,CI240101,Adzope,NA,NA,Adzopé,CI2401,Me,CI24,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
12,Afféry,CI240201,Affery,NA,NA,Akoupé,CI2402,Me,CI24,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
13,Agboville,CI030102,NA,NA,NA,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
14,Agnibilekrou,CI200201,NA,NA,NA,Agnibilékrou,CI2002,Indenie-Djuablin,CI20,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
15,Agou,CI240102,NA,NA,NA,Adzopé,CI2401,Me,CI24,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
16,Ahouanou,CI150201,NA,NA,NA,Grand-Lahou,CI1502,Grands Ponts,CI15,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
17,Akoboissué,CI200202,Akoboissue,NA,NA,Agnibilékrou,CI2002,Indenie-Djuablin,CI20,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
18,Akoupé,CI240202,Akoupe,NA,NA,Akoupé,CI2402,Me,CI24,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
19,Akpassanou,CI190101,NA,NA,NA,Daoukro,CI1901,Iffou,CI19,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
20,Alépé,CI240302,Alepe,NA,NA,Alépé,CI2403,Me,CI24,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
21,Allosso,CI240303,NA,NA,NA,Alépé,CI2403,Me,CI24,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
22,Amanvi,CI140402,NA,NA,NA,Tanda,CI1404,Gontougo,CI14,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
23,Amélékia,CI200102,Amelekia,NA,NA,Abengourou,CI2001,Indenie-Djuablin,CI20,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
24,Ananda,CI190102,NA,NA,NA,Daoukro,CI1901,Iffou,CI19,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
25,Ananguié,CI030103,Ananguie,NA,NA,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
26,Andé,CI250201,Ande,NA,NA,Bongouanou,CI2502,Moronou,CI25,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
27,Ando-Kékrénou,CI110101,Ando-Kekrenou,NA,NA,Béoumi,CI1101,Gbeke,CI11,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
28,Angoda,CI060402,NA,NA,NA,Toumodi,CI0604,Belier,CI06,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
29,Anianou,CI190302,NA,NA,NA,Prikro,CI1903,Iffou,CI19,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
30,Aniassué,CI200103,Aniassue,NA,NA,Abengourou,CI2001,Indenie-Djuablin,CI20,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
31,Annepé,CI240103,Annepe,NA,NA,Adzopé,CI2401,Me,CI24,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
32,Anoumaba,CI250302,NA,NA,NA,M'Batto,CI2503,Moronou,CI25,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
33,Anyama,CI010102,NA,NA,NA,Abidjan,CI0101,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
34,Appimadoum,CI140101,NA,NA,NA,Bondoukou,CI1401,Gontougo,CI14,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
35,Arikokaha,CI170302,NA,NA,NA,Niakaramandougou,CI1703,Hambol,CI17,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
36,Arrah,CI250101,NA,NA,NA,Arrah,CI2501,Moronou,CI25,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
37,Assahara,CI250303,NA,NA,NA,M'Batto,CI2503,Moronou,CI25,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
38,Assié-Koumassi,CI250202,Assie-Koumassi,NA,NA,Bongouanou,CI2502,Moronou,CI25,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
39,Assikoi,CI240104,NA,NA,NA,Adzopé,CI2401,Me,CI24,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
40,Assinie-Mafia,CI300202,NA,NA,NA,Adiaké,CI3002,Sud-Comoe,CI30,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
41,Assuéfry,CI140502,Assuefry,NA,NA,Transua,CI1405,Gontougo,CI14,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
42,Attiégouakro,CI020101,Attiegouakro,NA,NA,Attiégouakro,CI0201,District Autonome De Yamoussoukro,CI02,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
43,Attobrou,CI030104,NA,NA,NA,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
44,Attoutou,CI150302,NA,NA,NA,Jacqueville,CI1503,Grands Ponts,CI15,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
45,Ayamé,CI300104,Ayame,NA,NA,Aboisso,CI3001,Sud-Comoe,CI30,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
46,Ayaou-Sran,CI110402,NA,NA,NA,Sakassou,CI1104,Gbeke,CI11,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
47,Azaguié,CI030105,Azaguie,NA,NA,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
48,Bacanda,CI150202,NA,NA,NA,Grand-Lahou,CI1502,Grands Ponts,CI15,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
49,Badikaha,CI170303,NA,NA,NA,Niakaramandougou,CI1703,Hambol,CI17,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
50,Bagohouo,CI160201,NA,NA,NA,Duékoué,CI1602,Guemon,CI16,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
51,Bahouakaha,CI280402,NA,NA,NA,Sinématiali,CI2804,Poro,CI28,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
52,Bako,CI210302,NA,NA,NA,Odienne,CI2103,Kabadougou,CI21,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
53,Bakoubly,CI090402,NA,NA,NA,Toulepleu,CI0904,Cavally,CI09,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
54,Bandakagni-Tomora,CI140302,NA,NA,NA,Sandegue,CI1403,Gontougo,CI14,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
55,Bangolo,CI160101,NA,NA,NA,Bangolo,CI1601,Guemon,CI16,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
56,Banneu,CI320502,NA,NA,NA,Zouan-Hounien,CI3205,Tonkpi,CI32,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
57,Bassawa,CI170101,NA,NA,NA,Dabakala,CI1701,Hambol,CI17,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
58,Baya,CI050101,NA,NA,NA,Boundiali,CI0501,Bagoue,CI05,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
59,Bayota,CI130101,NA,NA,NA,Gagnoa,CI1301,Goh,CI13,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
60,Bazra-Nattis,CI180302,NA,NA,NA,Vavoua,CI1803,Haut-Sassandra,CI18,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
61,Bazré,CI230202,Bazre,NA,NA,Sinfra,CI2302,Marahoue,CI23,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
62,Bécédi-Brignan,CI240105,Becedi-Brignan,NA,NA,Adzopé,CI2401,Me,CI24,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
63,Bécouéfin,CI240203,Becouefin,NA,NA,Akoupé,CI2402,Me,CI24,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
64,Bédi-Gaozon,CI090202,Bedi-Gaozon,NA,NA,Guiglo,CI0902,Cavally,CI09,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
65,Bédiala,CI180101,Bediala,NA,NA,Daloa,CI1801,Haut-Sassandra,CI18,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
66,Bégbéssou,CI230101,Begbessou,NA,NA,Bouaflé,CI2301,Marahoue,CI23,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
67,Bengassou,CI270101,NA,NA,NA,Bocanda,CI2701,N'Zi,CI27,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
68,Béoué-Zibiao,CI160102,Beoue-Zibiao,NA,NA,Bangolo,CI1601,Guemon,CI16,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
69,Béoumi,CI110102,Beoumi,NA,NA,Béoumi,CI1101,Gbeke,CI11,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
70,Bettié,CI200301,Bettie,NA,NA,Béttié,CI2003,Indenie-Djuablin,CI20,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
71,Biankouma,CI320101,NA,NA,NA,Biankouma,CI3201,Tonkpi,CI32,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
72,Bianouan,CI300105,NA,NA,NA,Aboisso,CI3001,Sud-Comoe,CI30,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
73,Biéby,CI240403,Bieby,NA,NA,Yakassé-Attobrou,CI2404,Me,CI24,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
74,Bilimono,CI310202,NA,NA,NA,Kong,CI3102,Tchologo,CI31,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
75,Bin-Houyé,CI320503,Bin-Houye,NA,NA,Zouan-Hounien,CI3205,Tonkpi,CI32,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
76,Bingerville,CI010103,NA,NA,NA,Abidjan,CI0101,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
77,Blapleu,CI320102,NA,NA,NA,Biankouma,CI3201,Tonkpi,CI32,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
78,Bléniméouin,CI160103,Blenimeouin,NA,NA,Bangolo,CI1601,Guemon,CI16,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
79,Blességué,CI050202,Blessegue,NA,NA,Kouto,CI0502,Bagoue,CI05,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
80,Bloléquin,CI090101,Blolequin,NA,NA,Bloléquin,CI0901,Cavally,CI09,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
81,Boahia,CI140202,NA,NA,NA,Koun Fao,CI1402,Gontougo,CI14,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
82,Bobi-Diarabana,CI330202,NA,NA,NA,Séguéla,CI3302,Worodougou,CI33,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
83,Bocanda,CI270102,NA,NA,NA,Bocanda,CI2701,N'Zi,CI27,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
84,Bodokro,CI110103,NA,NA,NA,Béoumi,CI1101,Gbeke,CI11,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
85,Bogofa,CI080302,NA,NA,NA,Nassian,CI0803,Bounkani,CI08,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
86,Bogouiné,CI320302,Bogouine,NA,NA,Man,CI3203,Tonkpi,CI32,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
87,Boguédia,CI180202,Boguedia,NA,NA,Issia,CI1802,Haut-Sassandra,CI18,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
88,Boli,CI060101,NA,NA,NA,Didievi,CI0601,Belier,CI06,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
89,Bondo,CI140102,NA,NA,NA,Bondoukou,CI1401,Gontougo,CI14,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
90,Bondoukou,CI140103,NA,NA,NA,Bondoukou,CI1401,Gontougo,CI14,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
91,Bongo,CI300301,NA,NA,NA,Grand-Bassam,CI3003,Sud-Comoe,CI30,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
92,Bongouanou,CI250203,NA,NA,NA,Bongouanou,CI2502,Moronou,CI25,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
93,Bonguéra,CI190202,Bonguera,NA,NA,M'Bahiakro,CI1902,Iffou,CI19,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
94,Bonieredougou,CI170102,NA,NA,NA,Dabakala,CI1701,Hambol,CI17,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
95,Bonikro,CI060201,NA,NA,NA,Djekanou,CI0602,Belier,CI06,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
96,Bonon,CI230102,NA,NA,NA,Bouaflé,CI2301,Marahoue,CI23,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
97,Bonoua,CI300302,NA,NA,NA,Grand-Bassam,CI3003,Sud-Comoe,CI30,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
98,Booko,CI040102,NA,NA,NA,Koro,CI0401,Bafing,CI04,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
99,Boron,CI280101,NA,NA,NA,Dikodougou,CI2801,Poro,CI28,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
100,Borotou,CI040103,NA,NA,NA,Koro,CI0401,Bafing,CI04,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
101,Botro,CI110201,NA,NA,NA,Botro,CI1102,Gbeke,CI11,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
102,Bouaflé,CI230103,Bouafle,NA,NA,Bouaflé,CI2301,Marahoue,CI23,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
103,Bouaké,CI110301,Bouake,NA,NA,Bouaké,CI1103,Gbeke,CI11,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
104,Bouandougou,CI070302,NA,NA,NA,Mankono,CI0703,Bere,CI07,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
105,Bougou,CI280302,NA,NA,NA,M'Bengué,CI2803,Poro,CI28,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
106,Bougousso,CI210303,NA,NA,NA,Odienne,CI2103,Kabadougou,CI21,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
107,Bouko,CI080101,NA,NA,NA,Bouna,CI0801,Bounkani,CI08,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
108,Bouna,CI080102,NA,NA,NA,Bouna,CI0801,Bounkani,CI08,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
109,Bounda,CI110302,NA,NA,NA,Bouaké,CI1103,Gbeke,CI11,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
110,Boundiali,CI050102,NA,NA,NA,Boundiali,CI0501,Bagoue,CI05,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
111,Brobo,CI110303,NA,NA,NA,Bouaké,CI1103,Gbeke,CI11,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
112,Brofodoumé,CI010104,Brofodoume,NA,NA,Abidjan,CI0101,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
113,Buyo,CI260101,NA,NA,NA,Buyo,CI2601,Nawa,CI26,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
114,Cechi,CI030106,NA,NA,NA,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
115,Chiépo,CI220101,Chiepo,NA,NA,Divo,CI2201,Loh-Djiboua,CI22,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
116,Dabakala,CI170103,NA,NA,NA,Dabakala,CI1701,Hambol,CI17,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
117,Dabou,CI150101,NA,NA,NA,Dabou,CI1501,Grands Ponts,CI15,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
118,Dabouyo,CI260202,NA,NA,NA,Guéyo,CI2602,Nawa,CI26,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
119,Dahiépa-Kéhi,CI130102,Dahiepa-Kehi,NA,NA,Gagnoa,CI1301,Goh,CI13,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
120,Dahiri,CI120101,NA,NA,NA,Fresco,CI1201,Gbokle,CI12,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
121,Dairo Didizo,CI220202,NA,NA,NA,Guitry,CI2202,Loh-Djiboua,CI22,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
122,Dakpadou,CI120202,NA,NA,NA,Sassandra,CI1202,Gbokle,CI12,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
123,Daleu,CI320201,NA,NA,NA,Danané,CI3202,Tonkpi,CI32,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
124,Daloa,CI180102,NA,NA,NA,Daloa,CI1801,Haut-Sassandra,CI18,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
125,Damé,CI200203,Dame,NA,NA,Agnibilékrou,CI2002,Indenie-Djuablin,CI20,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
126,Danané,CI320202,Danane,NA,NA,Danané,CI3202,Tonkpi,CI32,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
127,Dananon,CI180303,NA,NA,NA,Vavoua,CI1803,Haut-Sassandra,CI18,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
128,Danguira,CI240304,NA,NA,NA,Alépé,CI2403,Me,CI24,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
129,Dania,CI180304,NA,NA,NA,Vavoua,CI1803,Haut-Sassandra,CI18,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
130,Danoa,CI080201,NA,NA,NA,Doropo,CI0802,Bounkani,CI08,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
131,Daoukro,CI190103,NA,NA,NA,Daoukro,CI1901,Iffou,CI19,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
132,Dapéoua,CI260102,Dapeoua,NA,NA,Buyo,CI2601,Nawa,CI26,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
133,Dapo-Iboké,CI290202,Dapo-Iboke,NA,NA,Tabou,CI2902,San Pedro,CI29,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
134,Dassoungboho,CI280202,NA,NA,NA,Korhogo,CI2802,Poro,CI28,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
135,Débété,CI050302,Debete,NA,NA,Tengrela,CI0503,Bagoue,CI05,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
136,Diabo,CI110202,NA,NA,NA,Botro,CI1102,Gbeke,CI11,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
137,Diamarakro,CI200302,NA,NA,NA,Béttié,CI2003,Indenie-Djuablin,CI20,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
138,Diamba,CI140403,NA,NA,NA,Tanda,CI1404,Gontougo,CI14,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
139,Diangokro,CI270202,NA,NA,NA,Dimbokro,CI2702,N'Zi,CI27,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
140,Dianra,CI070101,NA,NA,NA,Dianra,CI0701,Bere,CI07,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
141,Dianra-Village,CI070102,NA,NA,NA,Dianra,CI0701,Bere,CI07,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
142,Diawala,CI310302,NA,NA,NA,Ouangolodougou,CI3103,Tchologo,CI31,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
143,Diboké,CI090102,Diboke,NA,NA,Bloléquin,CI0901,Cavally,CI09,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
144,Dibri-Assirikro,CI110403,NA,NA,NA,Sakassou,CI1104,Gbeke,CI11,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
145,Didievi,CI060102,NA,NA,NA,Didievi,CI0601,Belier,CI06,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
146,Didoko,CI220102,NA,NA,NA,Divo,CI2201,Loh-Djiboua,CI22,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
147,Diégonéfla,CI130202,Diegonefla,NA,NA,Oumé,CI1302,Goh,CI13,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
148,Diéouzon,CI160104,Dieouzon,NA,NA,Bangolo,CI1601,Guemon,CI16,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
149,Dignago,CI130103,NA,NA,NA,Gagnoa,CI1301,Goh,CI13,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
150,Dikodougou,CI280102,NA,NA,NA,Dikodougou,CI2801,Poro,CI28,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
151,Dimandougou,CI140303,NA,NA,NA,Sandegue,CI1403,Gontougo,CI14,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
152,Dimbokro,CI270203,NA,NA,NA,Dimbokro,CI2702,N'Zi,CI27,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
153,Dioman,CI040302,NA,NA,NA,Touba,CI0403,Bafing,CI04,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
154,Dioulatiedougou,CI210304,NA,NA,NA,Odienne,CI2103,Kabadougou,CI21,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
155,Divo,CI220103,NA,NA,NA,Divo,CI2201,Loh-Djiboua,CI22,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
156,Djamandioké,CI290203,Djamandioke,NA,NA,Tabou,CI2902,San Pedro,CI29,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
157,Djébonoua,CI110304,Djebonoua,NA,NA,Bouaké,CI1103,Gbeke,CI11,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
158,Djékanou,CI060202,Djekanou,NA,NA,Djekanou,CI0602,Belier,CI06,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
159,Djibrosso,CI330102,NA,NA,NA,Kani,CI3301,Worodougou,CI33,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
160,Djidji,CI220302,NA,NA,NA,Lakota,CI2203,Loh-Djiboua,CI22,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
161,Djouroutou,CI290204,NA,NA,NA,Tabou,CI2902,San Pedro,CI29,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
162,Doba,CI290102,NA,NA,NA,San Pédro,CI2901,San Pedro,CI29,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
163,Dogbo,CI290103,NA,NA,NA,San Pédro,CI2901,San Pedro,CI29,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
164,Doké,CI090103,Doke,NA,NA,Bloléquin,CI0901,Cavally,CI09,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
165,Domangbeu,CI180402,NA,NA,NA,Zoukougbeu,CI1804,Haut-Sassandra,CI18,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
166,Doropo,CI080202,NA,NA,NA,Doropo,CI0802,Bounkani,CI08,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
167,Dougroupalégnoa,CI130104,Dougroupalegnoa,NA,NA,Gagnoa,CI1301,Goh,CI13,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
168,Doukouyo,CI130105,NA,NA,NA,Gagnoa,CI1301,Goh,CI13,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
169,Dualla,CI330203,NA,NA,NA,Séguéla,CI3302,Worodougou,CI33,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
170,Duékoué,CI160202,Duekoue,NA,NA,Duékoué,CI1602,Guemon,CI16,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
171,Duffrebo,CI200204,NA,NA,NA,Agnibilékrou,CI2002,Indenie-Djuablin,CI20,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
172,Ebilassokro,CI200104,NA,NA,NA,Abengourou,CI2001,Indenie-Djuablin,CI20,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
173,Ebonou,CI150203,NA,NA,NA,Grand-Lahou,CI1502,Grands Ponts,CI15,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
174,Ettrokro,CI190104,NA,NA,NA,Daoukro,CI1901,Iffou,CI19,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
175,Etuéboué,CI300203,Etueboue,NA,NA,Adiaké,CI3002,Sud-Comoe,CI30,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
176,Facobly,CI160301,NA,NA,NA,Facobly,CI1603,Guemon,CI16,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
177,Fadiadougou,CI330103,NA,NA,NA,Kani,CI3301,Worodougou,CI33,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
178,Fagnampleu,CI320303,NA,NA,NA,Man,CI3203,Tonkpi,CI32,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
179,Famienkro,CI190303,NA,NA,NA,Prikro,CI1903,Iffou,CI19,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
180,Fengolo,CI210202,NA,NA,NA,Madinani,CI2102,Kabadougou,CI21,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
181,Ferkéssédougou,CI310101,Ferkessedougou,NA,NA,Ferkessédougou,CI3101,Tchologo,CI31,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
182,Foumbolo,CI170104,NA,NA,NA,Dabakala,CI1701,Hambol,CI17,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
183,Foungbesso,CI040303,NA,NA,NA,Touba,CI0403,Bafing,CI04,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
184,Fresco,CI120102,NA,NA,NA,Fresco,CI1201,Gbokle,CI12,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
185,Fronan,CI170202,NA,NA,NA,Katiola,CI1702,Hambol,CI17,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
186,Gabiadji,CI290104,NA,NA,NA,San Pédro,CI2901,San Pedro,CI29,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
187,Gadouan,CI180103,NA,NA,NA,Daloa,CI1801,Haut-Sassandra,CI18,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
